time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,39,18,0,0
2026-04-20 00:00:00+00:00,36,15,1,1
2026-04-21 00:00:00+00:00,47,21,0,0
2026-04-22 00:00:00+00:00,77,27,0,0
2026-04-23 00:00:00+00:00,46,21,0,0
2026-04-24 00:00:00+00:00,60,25,0,0
2026-04-25 00:00:00+00:00,39,15,0,0
2026-04-26 00:00:00+00:00,26,7,0,0
2026-04-27 00:00:00+00:00,7,2,0,0
2026-04-28 00:00:00+00:00,19,9,0,0
2026-04-29 00:00:00+00:00,33,9,0,0
2026-04-30 00:00:00+00:00,7,2,0,0
2026-05-01 00:00:00+00:00,27,7,0,0
2026-05-02 00:00:00+00:00,45,12,0,0
