time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-03 00:00:00+00:00,22,7,0,0
2026-05-04 00:00:00+00:00,14,5,0,0
2026-05-05 00:00:00+00:00,43,12,0,0
2026-05-06 00:00:00+00:00,8,3,2,1
2026-05-07 00:00:00+00:00,24,9,0,0
2026-05-08 00:00:00+00:00,27,9,0,0
2026-05-09 00:00:00+00:00,21,8,0,0
2026-05-10 00:00:00+00:00,27,3,0,0
2026-05-11 00:00:00+00:00,7,2,0,0
2026-05-12 00:00:00+00:00,22,9,0,0
2026-05-13 00:00:00+00:00,29,6,0,0
2026-05-14 00:00:00+00:00,16,5,0,0
2026-05-15 00:00:00+00:00,2,2,0,0
2026-05-16 00:00:00+00:00,28,7,0,0
