time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-11 00:00:00+00:00,18,8,0,0
2026-04-12 00:00:00+00:00,1,1,0,0
2026-04-13 00:00:00+00:00,7,6,1,1
2026-04-14 00:00:00+00:00,24,10,0,0
2026-04-15 00:00:00+00:00,11,5,0,0
2026-04-16 00:00:00+00:00,17,7,0,0
2026-04-17 00:00:00+00:00,25,10,0,0
2026-04-18 00:00:00+00:00,20,7,0,0
2026-04-19 00:00:00+00:00,39,18,0,0
2026-04-20 00:00:00+00:00,36,15,1,1
2026-04-21 00:00:00+00:00,47,21,0,0
2026-04-22 00:00:00+00:00,77,27,0,0
2026-04-23 00:00:00+00:00,46,21,0,0
2026-04-24 00:00:00+00:00,60,25,0,0
