url_path,views_total,views_unique
/jbrzensk/rockfish_helpers/tree/main/python,6,2
/jbrzensk/rockfish_helpers,3,2
/jbrzensk/rockfish_helpers/tree/main,3,2
/jbrzensk/rockfish_helpers/blob/main/python/create_python_environment.md,2,2
/jbrzensk/rockfish_helpers/blob/main/python/Jupyter_Notebook_on_Rockfish.md,2,1
/jbrzensk/rockfish_helpers/blob/main/python/environment_builder.sh,1,1
/jbrzensk/rockfish_helpers/tree/main/bash,1,1
/jbrzensk/rockfish_helpers/tree/main/fortran,1,1
/jbrzensk/rockfish_helpers/tree/main/netcdf,1,1
