time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,20,10,0,0
2026-06-01 00:00:00+00:00,18,7,0,0
2026-06-02 00:00:00+00:00,17,7,0,0
2026-06-03 00:00:00+00:00,19,9,0,0
2026-06-04 00:00:00+00:00,1,1,29,1
2026-06-05 00:00:00+00:00,6,4,4,1
2026-06-06 00:00:00+00:00,20,6,0,0
2026-06-07 00:00:00+00:00,17,7,0,0
2026-06-08 00:00:00+00:00,10,4,9,1
2026-06-09 00:00:00+00:00,12,6,0,0
2026-06-10 00:00:00+00:00,10,5,0,0
2026-06-11 00:00:00+00:00,34,15,0,0
2026-06-12 00:00:00+00:00,26,11,0,0
2026-06-13 00:00:00+00:00,19,6,0,0
